epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,48.6944,0.70644,3.92979,0.00725,0.69012,0.5,0.73951,0.68814,0.47856,4.38825,0.00654,0.00457344,0.00152448,0.00457344,0.00152448,0.00457344,0.00152448,0.00457344,0.00152448
31,49.8023,0.55547,3.20305,0.00538,0.6906,0.75,0.77637,0.72628,0.48164,4.05935,0.0066,0.00470028,0.00156676,0.00470028,0.00156676,0.00470028,0.00156676,0.00470028,0.00156676
32,50.9796,0.54532,3.16713,0.00455,0.79554,0.75,0.80344,0.72062,0.46045,3.71875,0.0062,0.00482534,0.00160845,0.00482534,0.00160845,0.00482534,0.00160845,0.00482534,0.00160845
33,51.9097,0.50138,3.05968,0.00404,0.79554,0.75,0.80344,0.72062,0.46045,3.71875,0.0062,0.00494861,0.00164954,0.00494861,0.00164954,0.00494861,0.00164954,0.00494861,0.00164954
34,52.9943,0.5625,2.79288,0.00466,0.79995,0.75,0.83936,0.76573,0.4867,3.26871,0.00641,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733,0.0050199,0.0016733
35,54.1898,0.51993,2.9101,0.00464,0.81941,0.75676,0.87124,0.77584,0.5245,2.88189,0.00681,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
36,55.3698,0.52125,2.5991,0.00447,0.93587,0.75,0.88875,0.81148,0.48932,2.48093,0.00652,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
37,56.375,0.56702,2.9445,0.00689,0.93587,0.75,0.88875,0.81148,0.48932,2.48093,0.00652,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
38,57.5358,0.53678,2.65024,0.0047,0.96083,0.83333,0.895,0.82133,0.5035,2.14355,0.00663,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337
39,58.6966,0.58013,2.49725,0.00586,0.95283,0.83333,0.90195,0.81171,0.52297,1.87564,0.00675,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
40,59.7925,0.56499,2.55712,0.00506,0.97731,0.75,0.89258,0.80341,0.54001,1.66418,0.00708,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139
41,60.7041,0.59629,2.21936,0.00598,0.97731,0.75,0.89258,0.80341,0.54001,1.66418,0.00708,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
